msg				DB_id(key)	filename				
SOUND_BGM		1			Title		
SOUND_BGM		2			Ending		
SOUND_BGM		3			LilycoveCity		
SOUND_BGM		4			OmegaRuby		
SOUND_BGM		5			BattleChampion	
SOUND_BGM		6			BattleTeamFlare		
SOUND_BGM		11			xmas3		
SOUND_BGM		20			talesweaver_Scary			
SOUND_EFFECT	21			BigBomb1	
SOUND_EFFECT	22			arrow		
SOUND_EFFECT	23			icebleaze	
SOUND_EFFECT	24			poison						
SOUND_EFFECT	25			FlameArrow1				
SOUND_EFFECT	26			LargeFireball1	
SOUND_EFFECT	27			blackhole			
SOUND_EFFECT	28			Bow			
SOUND_EFFECT	29			GrenadeExplosion
SOUND_EFFECT	30			bubble
SOUND_EFFECT	31			iceball
SOUND_EFFECT	32			sand
SOUND_EFFECT	33			shock1
SOUND_EFFECT	34			shock2
SOUND_EFFECT	35			shock3
SOUND_EFFECT	36			arrowattack
SOUND_EFFECT	37			money
